               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12199,            0.012778,             0.07951,          0.00084004,            0.071429,          0.00051133,          5.1133e-05,            0.099131,            0.010829,            0.064846,               2e-05,               2e-05,             0.09982
                   1,             0.11711,            0.014268,            0.079795,           0.0023378,             0.19048,           0.0018635,          0.00029418,            0.097131,            0.011165,            0.064026,          4.9723e-05,          4.9723e-05,             0.09955
                   2,             0.11407,            0.015905,            0.078645,           0.0034504,              0.2619,           0.0033129,          0.00072448,            0.094526,            0.011615,             0.06301,          7.8238e-05,          7.8238e-05,            0.099278
                   3,             0.11265,            0.015392,            0.077979,           0.0045557,             0.28571,           0.0047871,           0.0015739,            0.091275,            0.012181,            0.062013,           0.0001046,           0.0001046,            0.099005
                   4,             0.10695,            0.016232,             0.07682,           0.0057973,            0.095238,           0.0054697,           0.0019514,            0.087523,            0.012843,             0.06098,          0.00012797,          0.00012797,            0.098728
                   5,             0.10461,            0.017881,            0.075969,           0.0075455,             0.11905,           0.0062832,           0.0022501,            0.083604,            0.013525,            0.059982,          0.00014759,          0.00014759,            0.098448
                   6,             0.10157,            0.020071,            0.073829,            0.011713,             0.16667,           0.0081121,           0.0024758,            0.079629,            0.014095,            0.059034,           0.0001629,           0.0001629,            0.098163
                   7,            0.099626,            0.017355,            0.071973,            0.013033,             0.16667,            0.010155,           0.0027961,            0.074882,            0.014729,               0.058,          0.00017349,          0.00017349,            0.097873
                   8,            0.097157,            0.019687,            0.069585,            0.015661,             0.19048,            0.013452,           0.0030532,            0.070941,            0.015177,            0.057061,          0.00017915,          0.00017915,            0.097579
                   9,            0.092249,            0.022956,             0.06916,            0.013334,             0.16667,            0.010921,           0.0028594,            0.068162,            0.015376,            0.055962,          0.00017991,          0.00017991,             0.09728
                  10,            0.092264,            0.021894,            0.067658,            0.020745,            0.071429,            0.016779,           0.0044012,             0.06566,            0.015553,            0.054889,            0.000176,            0.000176,            0.096976
                  11,            0.084787,            0.022027,            0.067276,              0.0235,            0.095238,            0.018957,           0.0057302,            0.062268,            0.015736,            0.053879,          0.00016786,          0.00016786,            0.096668
                  12,            0.081789,            0.023035,            0.064929,            0.033989,             0.14286,            0.022116,           0.0074348,            0.060375,            0.015897,            0.053082,          0.00015616,          0.00015616,            0.096356
                  13,            0.087882,            0.022034,             0.06599,            0.042489,             0.19048,            0.033379,            0.009112,            0.058917,            0.015901,            0.052005,          0.00014174,          0.00014174,            0.096042
                  14,            0.086064,            0.020076,            0.065461,            0.039652,             0.19048,            0.034406,            0.012033,            0.056807,            0.015994,            0.051354,          0.00012562,          0.00012562,            0.095726
                  15,            0.086965,            0.023652,            0.062898,            0.054892,             0.10585,            0.036607,            0.014147,            0.055773,            0.016078,            0.050715,          0.00010895,          0.00010895,            0.095409
                  16,            0.081805,            0.022282,            0.061984,            0.057617,             0.11905,            0.045538,            0.016543,            0.054955,            0.016121,            0.049871,          9.2971e-05,          9.2971e-05,            0.095093
                  17,            0.079268,             0.02275,            0.061678,            0.046121,             0.31454,            0.046439,             0.01676,            0.053941,            0.016165,            0.049358,          7.8995e-05,          7.8995e-05,            0.094779
                  18,            0.083744,            0.021933,            0.061209,            0.053519,             0.36717,            0.054777,            0.018025,            0.053493,            0.016172,            0.048734,          6.8334e-05,          6.8334e-05,            0.094468
                  19,            0.080374,            0.021607,            0.060289,            0.046342,             0.19048,            0.057938,            0.018878,            0.053184,            0.016189,            0.048122,          6.2269e-05,          6.2269e-05,            0.094162
