               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12179,            0.012836,            0.079236,           0.0016536,             0.14286,           0.0012191,          0.00013654,            0.098733,            0.010926,            0.065111,               2e-05,               2e-05,             0.09982
                   1,             0.11729,            0.014274,            0.079796,            0.002862,              0.2381,           0.0023504,          0.00046958,            0.096596,            0.011281,            0.064202,          4.9956e-05,          4.9956e-05,             0.09955
                   2,             0.11436,            0.015716,            0.078404,           0.0039157,             0.30952,           0.0035686,          0.00097506,            0.093831,            0.011758,            0.063138,          7.9716e-05,          7.9716e-05,             0.09928
                   3,             0.11334,            0.015312,            0.077658,           0.0046431,             0.30952,           0.0047597,           0.0016211,            0.090581,            0.012318,            0.062125,          0.00010912,          0.00010912,            0.099009
                   4,             0.10631,            0.016337,            0.076584,           0.0055555,            0.095238,           0.0059789,           0.0022672,            0.086599,            0.012977,            0.061058,          0.00013802,          0.00013802,            0.098738
                   5,             0.10442,            0.017971,            0.075986,            0.010294,             0.14286,           0.0072455,           0.0024602,             0.08248,             0.01366,            0.060118,          0.00016626,          0.00016626,            0.098466
                   6,             0.10092,            0.020326,            0.073162,            0.014785,             0.16667,            0.010224,           0.0030247,            0.077961,            0.014327,            0.059187,          0.00019368,          0.00019368,            0.098194
                   7,            0.097886,            0.017726,            0.071736,            0.016277,             0.16667,            0.010938,           0.0032805,            0.072829,            0.015095,            0.058021,          0.00022015,          0.00022015,             0.09792
                   8,            0.096125,            0.019954,            0.068828,            0.014147,             0.19048,            0.011864,           0.0029282,            0.069054,            0.015561,            0.056816,          0.00024553,          0.00024553,            0.097646
                   9,            0.090907,            0.023264,             0.06875,            0.010041,             0.54386,            0.012504,           0.0028132,            0.066381,            0.015703,            0.055287,          0.00026968,          0.00026968,             0.09737
                  10,            0.089754,            0.022697,            0.066545,            0.029267,              0.3985,            0.026881,           0.0059704,            0.061807,            0.015848,             0.05393,           0.0002925,           0.0002925,            0.097092
                  11,              0.0821,            0.022638,            0.065924,            0.066303,              0.3609,            0.056754,            0.010375,            0.059867,            0.015633,            0.052202,          0.00031386,          0.00031386,            0.096814
                  12,            0.079466,            0.023679,            0.063062,            0.067563,             0.38471,            0.072255,            0.015117,            0.057071,            0.015975,            0.051342,          0.00033365,          0.00033365,            0.096534
                  13,            0.084215,            0.022795,             0.06405,            0.088125,             0.61153,            0.096156,            0.025123,            0.054755,            0.016221,            0.049971,           0.0003518,           0.0003518,            0.096252
                  14,            0.081298,            0.021063,            0.063137,             0.13891,             0.59023,             0.18217,            0.055495,            0.054333,            0.015924,            0.048133,          0.00036821,          0.00036821,            0.095968
                  15,            0.082655,            0.024692,            0.060306,              0.1543,             0.68296,             0.17295,             0.05974,            0.052753,            0.016002,            0.046965,          0.00038282,          0.00038282,            0.095683
                  16,            0.077029,            0.023196,            0.058698,             0.16302,             0.40433,             0.17151,            0.063275,            0.050985,            0.016138,            0.045908,          0.00039556,          0.00039556,            0.095396
                  17,            0.072663,            0.024003,            0.057308,             0.21076,             0.62531,             0.22237,            0.084209,            0.049998,            0.016115,            0.044583,           0.0004064,           0.0004064,            0.095106
                  18,            0.077136,            0.023373,            0.056658,             0.20375,             0.65414,             0.23408,            0.088815,            0.048366,             0.01641,            0.043872,           0.0004153,           0.0004153,            0.094815
                  19,            0.073874,            0.022748,            0.054655,             0.16078,             0.54657,              0.2557,            0.095135,            0.046913,            0.016543,            0.042714,          0.00042224,          0.00042224,            0.094522
                  20,            0.070707,            0.021695,            0.053756,             0.32328,             0.33333,             0.40826,             0.12528,            0.044821,            0.016535,            0.040961,          0.00042722,          0.00042722,            0.094227
                  21,            0.071256,            0.026573,            0.051634,             0.79732,             0.40476,             0.49421,             0.13626,            0.043353,            0.016475,            0.039504,          0.00043024,          0.00043024,             0.09393
                  22,            0.072127,            0.023631,            0.051759,             0.33811,             0.68227,             0.57136,             0.17565,            0.042737,            0.016352,            0.038501,          0.00043134,          0.00043134,            0.093631
