               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12201,            0.012717,             0.07979,           0.0013199,             0.11905,           0.0009467,          0.00010865,            0.099115,            0.010848,            0.064908,               2e-05,               2e-05,             0.09982
                   1,             0.11731,            0.014199,            0.079554,           0.0025182,             0.21429,           0.0019516,          0.00034266,            0.097107,            0.011172,            0.064101,          4.9956e-05,          4.9956e-05,             0.09955
                   2,             0.11421,            0.015812,            0.078668,            0.003681,             0.28571,           0.0034894,          0.00081926,            0.094384,             0.01161,            0.063076,          7.9716e-05,          7.9716e-05,             0.09928
                   3,             0.11329,            0.015198,             0.07788,            0.004753,            0.095238,           0.0049291,           0.0015604,            0.090942,             0.01214,            0.062091,          0.00010912,          0.00010912,            0.099009
                   4,             0.10631,            0.016345,             0.07683,           0.0055603,             0.33333,           0.0060838,           0.0020454,            0.086664,            0.012789,            0.061012,          0.00013802,          0.00013802,            0.098738
                   5,             0.10437,            0.018075,            0.075077,           0.0057104,             0.33333,           0.0067545,            0.002389,             0.08218,            0.013485,            0.059949,          0.00016626,          0.00016626,            0.098466
                   6,             0.10054,            0.020331,             0.07323,           0.0094022,             0.14286,           0.0082226,            0.002218,            0.077613,             0.01417,            0.058921,          0.00019368,          0.00019368,            0.098194
                   7,            0.098124,            0.017769,            0.072096,           0.0096682,              0.4411,            0.011076,            0.002748,            0.071532,            0.014935,            0.057758,          0.00022015,          0.00022015,             0.09792
                   8,            0.095972,            0.020023,            0.068828,            0.014961,             0.21679,            0.014723,           0.0034394,             0.06662,            0.015462,            0.056393,          0.00024553,          0.00024553,            0.097646
                   9,            0.089689,            0.023643,            0.068803,            0.018586,              0.2193,            0.019586,           0.0048245,            0.062357,             0.01572,            0.054823,          0.00026968,          0.00026968,             0.09737
                  10,            0.089886,            0.022666,            0.066722,            0.038256,             0.34837,               0.031,           0.0076483,            0.057968,            0.015987,            0.053199,           0.0002925,           0.0002925,            0.097092
