               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12359,            0.025514,            0.083163,                   0,                   0,                   0,                   0,             0.11597,            0.020402,            0.082636,               2e-05,               2e-05,             0.09982
                   1,             0.12189,            0.024956,            0.083062,                   0,                   0,                   0,                   0,             0.11514,            0.020622,            0.082335,          4.9992e-05,          4.9992e-05,             0.09955
                   2,             0.12117,            0.023853,            0.083079,                   0,                   0,                   0,                   0,             0.11403,            0.020901,            0.081892,          7.9951e-05,          7.9951e-05,             0.09928
                   3,             0.12068,            0.024702,            0.082156,                   0,                   0,                   0,                   0,             0.11253,             0.02131,            0.081422,          0.00010985,          0.00010985,             0.09901
                   4,             0.11795,            0.025485,             0.08169,           0.0024411,           0.0071429,           0.0010271,          0.00015881,             0.11075,            0.021866,            0.080887,          0.00013965,          0.00013965,             0.09874
                   5,             0.12012,            0.027049,            0.081481,           0.0039605,            0.014286,           0.0022234,          0.00029555,              0.1092,            0.022379,            0.080319,          0.00016935,          0.00016935,            0.098469
                   6,              0.1175,            0.028269,             0.08116,           0.0032573,                0.05,           0.0022606,          0.00041838,             0.10762,            0.022955,            0.079704,          0.00019889,          0.00019889,            0.098199
                   7,             0.11609,            0.026844,            0.080067,           0.0036914,            0.071429,           0.0029698,          0.00060257,             0.10642,            0.023405,            0.079049,          0.00022827,          0.00022827,            0.097928
                   8,             0.11459,            0.028762,            0.079676,           0.0042422,                 0.1,           0.0036739,          0.00069074,             0.10524,            0.023908,            0.078385,          0.00025744,          0.00025744,            0.097657
                   9,             0.11363,            0.032399,            0.079087,           0.0046965,             0.12857,            0.004245,          0.00079494,             0.10421,            0.024287,            0.077647,          0.00028639,          0.00028639,            0.097386
                  10,             0.11079,            0.031048,            0.078208,           0.0071553,             0.21429,           0.0068971,           0.0014813,             0.10352,            0.024572,            0.076759,          0.00031509,          0.00031509,            0.097115
                  11,             0.11131,            0.026384,            0.077587,           0.0076615,             0.24286,           0.0090578,           0.0020125,             0.10308,            0.024784,             0.07583,          0.00034351,          0.00034351,            0.096844
                  12,             0.11081,            0.031783,            0.077373,           0.0095366,             0.13112,            0.011221,           0.0025816,              0.1023,            0.025134,            0.075136,          0.00037163,          0.00037163,            0.096572
                  13,             0.10979,            0.030682,            0.076468,            0.011658,             0.16429,            0.012128,           0.0031891,             0.10107,            0.025667,            0.074369,          0.00039942,          0.00039942,            0.096299
                  14,             0.10846,            0.031795,            0.075344,            0.013525,             0.23333,            0.014268,            0.003207,             0.10052,            0.026077,            0.073431,          0.00042685,          0.00042685,            0.096027
                  15,             0.10742,            0.034791,            0.075205,            0.013523,             0.25428,            0.015741,           0.0042134,            0.099425,            0.026547,            0.072678,           0.0004539,           0.0004539,            0.095754
                  16,             0.10672,            0.035326,            0.074866,            0.013425,             0.26429,            0.020274,           0.0058949,            0.098686,            0.026945,            0.071917,          0.00048055,          0.00048055,            0.095481
                  17,             0.10582,            0.032231,             0.07456,            0.012642,             0.26429,            0.020036,           0.0065323,            0.096834,            0.027646,            0.071363,          0.00050677,          0.00050677,            0.095207
                  18,             0.10427,            0.033464,            0.073346,            0.016194,            0.057143,             0.02243,           0.0084048,            0.095907,            0.028029,            0.070831,          0.00053253,          0.00053253,            0.094933
                  19,             0.10201,            0.031171,            0.072337,            0.024473,             0.12143,            0.027779,            0.010272,            0.095632,            0.028017,            0.070048,          0.00055783,          0.00055783,            0.094658
                  20,             0.10175,            0.034196,            0.072112,            0.026498,             0.20246,            0.027061,           0.0093737,            0.095187,            0.028045,            0.069233,          0.00058262,          0.00058262,            0.094383
                  21,             0.10074,            0.035033,            0.071472,            0.027434,              0.2568,            0.032547,            0.010603,            0.094685,            0.027911,            0.068371,           0.0006069,           0.0006069,            0.094107
                  22,              0.1013,             0.03542,            0.070945,            0.061293,             0.12143,            0.072098,            0.020084,             0.09553,            0.026809,            0.067207,          0.00063063,          0.00063063,            0.093831
                  23,             0.10066,            0.038703,             0.07006,            0.064842,             0.21395,            0.077711,            0.025401,            0.094837,            0.026838,            0.066543,          0.00065381,          0.00065381,            0.093554
                  24,            0.098303,            0.034459,            0.068559,             0.05726,             0.22109,            0.060182,            0.021105,            0.091387,            0.027993,            0.065684,           0.0006764,           0.0006764,            0.093276
                  25,            0.097613,              0.0346,            0.067291,            0.080358,             0.22599,            0.088034,            0.021084,            0.091608,            0.027569,            0.064499,           0.0006984,           0.0006984,            0.092998
                  26,            0.095589,            0.030122,            0.066754,             0.23804,             0.21071,            0.089909,            0.025566,            0.090113,            0.027838,            0.063355,          0.00071977,          0.00071977,             0.09272
                  27,             0.09491,            0.034552,            0.065679,             0.26041,             0.25379,             0.12563,            0.029608,            0.090467,            0.027496,            0.062465,          0.00074051,          0.00074051,            0.092441
                  28,            0.093466,            0.035704,             0.06589,             0.26923,             0.27385,              0.1382,            0.040394,            0.089128,            0.027175,            0.061682,           0.0007606,           0.0007606,            0.092161
                  29,            0.093901,            0.032558,            0.065235,             0.55861,             0.25638,             0.15865,            0.036697,            0.090117,            0.026429,            0.060899,          0.00078001,          0.00078001,             0.09188
                  30,            0.091384,            0.036173,            0.064251,             0.54165,             0.21429,             0.12613,            0.029536,            0.090373,            0.025713,             0.06032,          0.00079874,          0.00079874,            0.091599
                  31,            0.091644,            0.032622,            0.063639,             0.58542,             0.26024,             0.19261,            0.046354,             0.08745,            0.025535,            0.059752,          0.00081677,          0.00081677,            0.091317
                  32,            0.092346,            0.027978,            0.064266,             0.72503,             0.27732,             0.18385,            0.056532,            0.086488,            0.025097,            0.059197,          0.00083409,          0.00083409,            0.091034
                  33,             0.09089,             0.03791,            0.063776,             0.87756,             0.26429,             0.19166,            0.067827,            0.086181,            0.024234,            0.058433,          0.00085067,          0.00085067,            0.090751
                  34,             0.09009,            0.033022,            0.062952,             0.85924,             0.26404,             0.16929,            0.050472,            0.087031,            0.023511,            0.057802,          0.00086652,          0.00086652,            0.090467
                  35,            0.088573,            0.036966,            0.062186,             0.70968,             0.29609,             0.18841,            0.066926,            0.087586,            0.022625,            0.057411,          0.00088162,          0.00088162,            0.090182
                  36,              0.0888,             0.03458,            0.060688,             0.87607,              0.2488,             0.20344,            0.057748,            0.087657,            0.021855,            0.057232,          0.00089595,          0.00089595,            0.089896
                  37,            0.087492,            0.030134,            0.061524,             0.59902,             0.27443,             0.19446,            0.055132,            0.088898,            0.021298,            0.056878,          0.00090952,          0.00090952,             0.08961
                  38,            0.088692,            0.030344,            0.060254,             0.13045,             0.44426,             0.16899,            0.056902,            0.088364,            0.021022,            0.056285,           0.0009223,           0.0009223,            0.089322
                  39,            0.087287,              0.0325,            0.060216,             0.11966,             0.41779,             0.16256,             0.04563,            0.087187,            0.020673,            0.055801,           0.0009343,           0.0009343,            0.089034
                  40,            0.087819,            0.028051,            0.059764,             0.60509,              0.3165,             0.21269,            0.075463,            0.083287,             0.02051,            0.055466,           0.0009455,           0.0009455,            0.088746
                  41,            0.086985,            0.029861,            0.059913,             0.59988,             0.30901,             0.18132,            0.029485,            0.084634,            0.020312,            0.055107,           0.0009559,           0.0009559,            0.088456
                  42,            0.086858,            0.026395,            0.058408,             0.46938,             0.33333,             0.19586,            0.041477,            0.085667,            0.019909,            0.054614,           0.0009655,           0.0009655,            0.088165
                  43,            0.087199,             0.03173,            0.058907,             0.45642,             0.35715,             0.21767,            0.064598,            0.080947,            0.020128,            0.054097,          0.00097429,          0.00097429,            0.087874
                  44,            0.085005,            0.032521,            0.057377,              0.4765,             0.33724,             0.21497,            0.072253,            0.082247,            0.019731,            0.053686,          0.00098226,          0.00098226,            0.087582
                  45,            0.084236,             0.02664,             0.05769,             0.48026,             0.32364,             0.22041,            0.082675,            0.079992,            0.019878,            0.053319,          0.00098942,          0.00098942,            0.087289
                  46,            0.085756,            0.027266,            0.057737,             0.43039,             0.31224,             0.12827,            0.019164,            0.087668,             0.02003,            0.052997,          0.00099577,          0.00099577,            0.086996
                  47,            0.083352,            0.026668,            0.056569,             0.40903,             0.31939,             0.17055,            0.029947,            0.082671,            0.020035,            0.052568,           0.0010013,           0.0010013,            0.086701
