               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12177,            0.012784,             0.07954,           0.0016225,             0.14286,           0.0011559,          0.00014627,            0.098707,            0.010951,            0.065158,               2e-05,               2e-05,             0.09982
                   1,             0.11718,            0.014252,            0.079483,           0.0025818,             0.21429,            0.002116,          0.00042423,            0.096611,            0.011281,            0.064247,          4.9956e-05,          4.9956e-05,             0.09955
                   2,             0.11382,            0.015919,            0.078609,           0.0037547,             0.28571,           0.0034308,          0.00093136,            0.093816,            0.011726,            0.063188,          7.9716e-05,          7.9716e-05,             0.09928
                   3,             0.11285,            0.015298,             0.07797,           0.0050758,            0.095238,            0.004419,           0.0016031,            0.090639,            0.012251,            0.062204,          0.00010912,          0.00010912,            0.099009
                   4,              0.1072,            0.016232,            0.077398,           0.0055361,            0.095238,           0.0056953,           0.0021103,            0.086692,            0.012911,            0.061106,          0.00013802,          0.00013802,            0.098738
                   5,             0.10406,            0.018145,            0.075352,           0.0078533,             0.11905,           0.0073913,            0.002521,            0.082228,            0.013596,            0.060011,          0.00016626,          0.00016626,            0.098466
                   6,             0.10045,            0.020353,            0.073303,           0.0086454,             0.11905,           0.0077411,           0.0027052,            0.077537,             0.01433,             0.05891,          0.00019368,          0.00019368,            0.098194
                   7,            0.098486,            0.017585,            0.071978,            0.010657,             0.14286,            0.011137,           0.0028819,            0.071819,            0.015121,            0.057776,          0.00022015,          0.00022015,             0.09792
                   8,            0.096229,            0.019945,            0.069232,            0.017612,             0.21679,            0.015717,           0.0041187,            0.066802,            0.015661,            0.056478,          0.00024553,          0.00024553,            0.097646
                   9,            0.090002,            0.023526,            0.068627,            0.020114,             0.24311,            0.018986,           0.0054224,            0.063333,            0.015903,            0.054953,          0.00026968,          0.00026968,             0.09737
                  10,            0.090069,            0.022486,            0.066438,            0.019423,            0.095238,            0.021717,           0.0061528,            0.060527,            0.016088,            0.053503,           0.0002925,           0.0002925,            0.097092
                  11,            0.082685,            0.022483,            0.065705,            0.034103,             0.16667,            0.032053,           0.0088909,            0.057021,            0.016255,            0.052258,          0.00031386,          0.00031386,            0.096814
                  12,            0.080065,            0.023521,            0.062805,             0.04714,             0.21679,             0.04872,              0.0117,            0.054091,            0.016494,            0.051243,          0.00033365,          0.00033365,            0.096534
                  13,            0.084642,            0.022787,            0.064561,            0.075989,             0.33853,             0.07245,            0.018821,            0.051911,            0.016676,            0.050068,           0.0003518,           0.0003518,            0.096252
                  14,            0.081507,            0.020919,            0.062917,             0.11565,             0.65163,             0.15361,            0.039126,             0.04988,            0.016647,            0.048541,          0.00036821,          0.00036821,            0.095968
                  15,            0.082925,            0.024651,             0.06019,              0.1671,             0.36967,             0.18446,            0.046907,             0.04814,            0.016643,            0.047847,          0.00038282,          0.00038282,            0.095683
                  16,            0.077199,            0.023129,            0.058693,             0.25704,             0.67043,             0.29701,            0.078297,            0.047426,            0.016673,            0.046405,          0.00039556,          0.00039556,            0.095396
                  17,            0.073319,            0.023959,            0.057564,             0.33258,             0.51253,             0.37703,             0.11051,            0.046663,            0.016633,            0.044806,           0.0004064,           0.0004064,            0.095106
                  18,            0.076588,            0.023499,            0.056768,             0.37993,             0.71805,             0.50934,             0.13952,            0.046306,            0.016671,            0.043207,           0.0004153,           0.0004153,            0.094815
                  19,            0.074349,              0.0227,            0.054938,             0.26379,             0.81579,             0.52883,             0.14802,            0.046123,            0.016594,            0.041953,          0.00042224,          0.00042224,            0.094522
                  20,            0.070577,            0.021578,            0.053953,             0.25745,             0.61529,             0.39687,             0.10331,            0.046098,            0.016328,            0.040617,          0.00042722,          0.00042722,            0.094227
                  21,            0.071088,            0.026699,            0.051792,             0.27972,             0.58263,             0.44485,             0.13852,            0.044741,            0.016536,            0.039211,          0.00043024,          0.00043024,             0.09393
                  22,            0.071881,            0.023698,            0.051587,             0.27221,             0.76316,             0.50809,             0.15872,            0.043979,            0.016525,            0.037827,          0.00043134,          0.00043134,            0.093631
                  23,            0.066044,            0.025918,            0.052064,             0.31366,               0.916,             0.61362,             0.18824,            0.043651,            0.016245,            0.036781,          0.00043054,          0.00043054,            0.093331
                  24,            0.069545,            0.027605,            0.050271,             0.35203,             0.78947,             0.63793,             0.20306,            0.043597,            0.015977,             0.03569,          0.00042791,          0.00042791,            0.093028
                  25,            0.072355,             0.02247,            0.049344,             0.35107,             0.81579,             0.63909,             0.19971,            0.042736,            0.015922,            0.034677,           0.0004235,           0.0004235,            0.092724
                  26,            0.065317,               0.026,            0.047627,             0.34697,             0.76316,              0.6084,             0.21704,            0.043308,            0.015594,            0.033814,           0.0004174,           0.0004174,            0.092417
                  27,            0.065747,            0.024163,            0.047124,             0.35681,             0.92461,              0.6531,             0.26338,            0.042041,             0.01547,            0.032898,          0.00040969,          0.00040969,             0.09211
                  28,            0.066272,            0.029196,            0.047637,              0.3851,             0.81579,             0.64107,             0.26899,            0.041483,            0.015399,            0.032368,          0.00040048,          0.00040048,              0.0918
                  29,             0.06521,            0.025258,            0.045833,             0.35013,             0.94737,             0.63048,             0.27634,            0.041114,            0.015206,            0.031741,           0.0003899,           0.0003899,             0.09149
                  30,             0.06246,            0.027501,            0.044594,             0.36275,             0.91229,             0.63671,             0.28793,            0.040396,             0.01511,            0.031337,          0.00037807,          0.00037807,            0.091178
                  31,            0.062551,            0.026077,             0.04422,             0.35574,             0.92585,               0.645,             0.31624,            0.039208,            0.015135,            0.030919,          0.00036513,          0.00036513,            0.090865
                  32,            0.060265,            0.022557,             0.04427,             0.36624,             0.94737,             0.65362,             0.29445,            0.038277,            0.015004,            0.030477,          0.00035123,          0.00035123,            0.090551
                  33,            0.062335,            0.020983,            0.043706,             0.39665,             0.97368,             0.65691,              0.2806,            0.040057,            0.014398,            0.029906,          0.00033654,          0.00033654,            0.090237
                  34,            0.062399,            0.028117,              0.0417,              0.3781,             0.93653,             0.63554,             0.31441,            0.038571,            0.014352,            0.029411,          0.00032123,          0.00032123,            0.089921
                  35,             0.05843,              0.0271,            0.042673,             0.41131,             0.84105,             0.62291,             0.30442,            0.038358,            0.014148,            0.029213,          0.00030548,          0.00030548,            0.089605
                  36,            0.062052,            0.022702,            0.042413,             0.38849,             0.94737,             0.60687,             0.33553,            0.036576,            0.014148,            0.028974,          0.00028948,          0.00028948,            0.089289
                  37,            0.058033,            0.023196,            0.041503,             0.44902,             0.89474,             0.62524,             0.31521,            0.036485,            0.013991,            0.028671,          0.00027341,          0.00027341,            0.088973
                  38,            0.059186,            0.022409,             0.04162,              0.4987,             0.88421,             0.61885,             0.25226,            0.036838,            0.013817,            0.028509,          0.00025748,          0.00025748,            0.088657
                  39,            0.060162,            0.030553,            0.040916,             0.46431,             0.96848,             0.63379,             0.31009,            0.034944,            0.013861,            0.028363,          0.00024189,          0.00024189,            0.088342
                  40,            0.055021,            0.024868,            0.039301,             0.51459,             0.94584,             0.62945,             0.33001,            0.034345,            0.013722,              0.0283,          0.00022685,          0.00022685,            0.088027
                  41,            0.057188,            0.024773,            0.040077,             0.52126,             0.92105,             0.61192,             0.24898,            0.034766,            0.013526,            0.028205,          0.00021257,          0.00021257,            0.087713
                  42,            0.055733,            0.017961,             0.03959,             0.55052,             0.92105,             0.66458,              0.2224,            0.036912,            0.013157,            0.028094,          0.00019925,          0.00019925,            0.087399
                  43,            0.057563,            0.020781,            0.040452,             0.56358,             0.91547,             0.69742,             0.33243,            0.034826,            0.013185,            0.027973,           0.0001871,           0.0001871,            0.087087
                  44,            0.054615,            0.022198,            0.039431,              0.5608,             0.86842,             0.70976,             0.35016,            0.034314,            0.013125,              0.0279,          0.00017634,          0.00017634,            0.086776
                  45,            0.054262,            0.023024,            0.039058,             0.55116,             0.89147,             0.71171,             0.32539,            0.033874,            0.013083,             0.02787,          0.00016717,          0.00016717,            0.086467
                  46,            0.056833,             0.02548,            0.038356,             0.55329,             0.88656,             0.71786,             0.34209,            0.033862,            0.012961,            0.027893,          0.00015979,          0.00015979,             0.08616
