               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12359,            0.025514,            0.083163,                   0,                   0,                   0,                   0,             0.11597,            0.020402,            0.082636,               2e-05,               2e-05,             0.09982
                   1,             0.12189,            0.024956,            0.083062,                   0,                   0,                   0,                   0,             0.11514,            0.020622,            0.082335,          4.9992e-05,          4.9992e-05,             0.09955
                   2,             0.12117,            0.023853,            0.083079,                   0,                   0,                   0,                   0,             0.11403,            0.020901,            0.081892,          7.9951e-05,          7.9951e-05,             0.09928
                   3,             0.12068,            0.024702,            0.082156,                   0,                   0,                   0,                   0,             0.11253,             0.02131,            0.081422,          0.00010985,          0.00010985,             0.09901
                   4,             0.11795,            0.025485,             0.08169,           0.0024411,           0.0071429,           0.0010271,          0.00015881,             0.11075,            0.021866,            0.080887,          0.00013965,          0.00013965,             0.09874
                   5,             0.12012,            0.027049,            0.081481,           0.0039606,            0.014286,           0.0022234,          0.00029555,              0.1092,            0.022379,            0.080319,          0.00016935,          0.00016935,            0.098469
                   6,              0.1175,            0.028269,             0.08116,           0.0032573,                0.05,           0.0022606,          0.00041838,             0.10762,            0.022955,            0.079704,          0.00019889,          0.00019889,            0.098199
                   7,             0.11609,            0.026844,            0.080067,           0.0036914,            0.071429,           0.0029698,          0.00060257,             0.10642,            0.023405,            0.079049,          0.00022827,          0.00022827,            0.097928
                   8,             0.11459,            0.028762,            0.079676,           0.0042422,                 0.1,           0.0036739,          0.00069074,             0.10524,            0.023908,            0.078385,          0.00025744,          0.00025744,            0.097657
                   9,             0.11363,            0.032399,            0.079087,           0.0046965,             0.12857,            0.004245,          0.00079494,             0.10421,            0.024287,            0.077647,          0.00028639,          0.00028639,            0.097386
                  10,             0.11079,            0.031048,            0.078208,           0.0071563,             0.21429,             0.00689,             0.00148,             0.10352,            0.024572,            0.076759,          0.00031509,          0.00031509,            0.097115
                  11,             0.11131,            0.026385,            0.077586,            0.007661,             0.24286,           0.0091278,           0.0020669,              0.1031,            0.024779,            0.075824,          0.00034351,          0.00034351,            0.096844
                  12,             0.11081,            0.031784,            0.077372,           0.0098264,             0.13571,            0.011246,           0.0025377,             0.10232,            0.025129,            0.075131,          0.00037163,          0.00037163,            0.096572
                  13,             0.10979,            0.030683,            0.076468,              0.0118,             0.16429,            0.012141,           0.0031621,             0.10107,            0.025666,            0.074376,          0.00039942,          0.00039942,            0.096299
                  14,             0.10846,            0.031796,            0.075346,            0.013308,             0.22619,            0.014458,           0.0032217,             0.10049,            0.026077,            0.073446,          0.00042685,          0.00042685,            0.096027
                  15,             0.10743,            0.034789,            0.075209,            0.013993,             0.25326,            0.015943,           0.0043348,            0.099348,            0.026556,            0.072718,           0.0004539,           0.0004539,            0.095754
                  16,             0.10673,            0.035323,            0.074867,            0.014304,             0.25714,            0.019943,            0.005523,            0.098411,            0.027044,            0.072041,          0.00048055,          0.00048055,            0.095481
                  17,             0.10583,            0.032205,            0.074547,            0.013128,             0.26429,            0.020313,            0.006742,            0.096842,            0.027645,            0.071436,          0.00050677,          0.00050677,            0.095207
                  18,             0.10426,            0.033464,            0.073325,            0.013561,             0.27143,            0.022576,           0.0082765,            0.096035,            0.027983,            0.070861,          0.00053253,          0.00053253,            0.094933
                  19,             0.10195,            0.031183,            0.072287,            0.025107,             0.12837,            0.028931,            0.010262,            0.095665,             0.02796,            0.070019,          0.00055783,          0.00055783,            0.094658
                  20,             0.10185,            0.034145,            0.072129,            0.029198,             0.22109,            0.027663,           0.0096914,            0.095327,            0.027923,            0.069176,          0.00058262,          0.00058262,            0.094383
                  21,             0.10076,             0.03501,            0.071474,            0.026501,              0.2568,            0.031575,           0.0093501,            0.094845,            0.027841,            0.068304,           0.0006069,           0.0006069,            0.094107
                  22,             0.10134,            0.035407,            0.070939,            0.064175,             0.16252,            0.069734,            0.017783,            0.096152,            0.026667,            0.067177,          0.00063063,          0.00063063,            0.093831
                  23,              0.1006,            0.038717,            0.070009,             0.22078,             0.13571,            0.074067,            0.022765,            0.095408,            0.026702,            0.066451,          0.00065381,          0.00065381,            0.093554
                  24,            0.098436,            0.034404,            0.068545,            0.058145,             0.24252,            0.061874,            0.020023,            0.092246,             0.02776,             0.06562,           0.0006764,           0.0006764,            0.093276
                  25,            0.097535,            0.034624,            0.067236,            0.073367,             0.24966,            0.079157,            0.020512,            0.092336,            0.027394,            0.064609,           0.0006984,           0.0006984,            0.092998
                  26,            0.095511,            0.030096,             0.06665,             0.10631,             0.19816,             0.11056,            0.037842,             0.09184,            0.027141,            0.063934,          0.00071977,          0.00071977,             0.09272
                  27,            0.094905,            0.034467,            0.065775,             0.24631,             0.21709,             0.11417,            0.026225,            0.091597,            0.027115,            0.063022,          0.00074051,          0.00074051,            0.092441
                  28,            0.093336,            0.035766,              0.0659,             0.26881,             0.23929,             0.13608,            0.041232,            0.090126,            0.026942,            0.062176,           0.0007606,           0.0007606,            0.092161
                  29,            0.093761,            0.032559,             0.06525,              0.4134,             0.27143,             0.16368,            0.040188,            0.090381,            0.026515,            0.061174,          0.00078001,          0.00078001,             0.09188
                  30,            0.091189,            0.036281,            0.064266,             0.55547,             0.21429,             0.15604,            0.037719,            0.090797,            0.025785,            0.060779,          0.00079874,          0.00079874,            0.091599
                  31,            0.091678,            0.032559,            0.063779,             0.56985,             0.23571,             0.16061,            0.036917,            0.088139,            0.025596,            0.060218,          0.00081677,          0.00081677,            0.091317
                  32,            0.092484,              0.0279,            0.064236,             0.59207,              0.2641,             0.18425,            0.047616,            0.086833,            0.025142,            0.059491,          0.00083409,          0.00083409,            0.091034
                  33,            0.091307,            0.037667,            0.063841,             0.87983,             0.26705,             0.19903,            0.067681,            0.086245,            0.024533,            0.058696,          0.00085067,          0.00085067,            0.090751
                  34,            0.090086,            0.032908,             0.06304,              0.5949,             0.27466,             0.20282,            0.052545,             0.08745,            0.023794,            0.058129,          0.00086652,          0.00086652,            0.090467
                  35,            0.088728,            0.036864,            0.062157,             0.63018,             0.28895,             0.21913,            0.059408,            0.086517,            0.023016,            0.057811,          0.00088162,          0.00088162,            0.090182
                  36,            0.087772,             0.03466,            0.060671,             0.76267,             0.28522,             0.22685,            0.087387,            0.086893,            0.022028,              0.0576,          0.00089595,          0.00089595,            0.089896
                  37,            0.088411,            0.029775,            0.061564,             0.60462,             0.29864,             0.20747,            0.057207,            0.085198,             0.02142,            0.057069,          0.00090952,          0.00090952,             0.08961
                  38,            0.088601,            0.030522,            0.060284,             0.21266,              0.3863,             0.19645,            0.057479,            0.087316,            0.021195,            0.056481,           0.0009223,           0.0009223,            0.089322
                  39,            0.087576,            0.032427,            0.060285,             0.21133,             0.38562,             0.21251,            0.060143,            0.086439,            0.020928,            0.056136,           0.0009343,           0.0009343,            0.089034
                  40,            0.088921,            0.027914,            0.059742,             0.12421,             0.45392,             0.19231,            0.044399,            0.085293,            0.020697,            0.055675,           0.0009455,           0.0009455,            0.088746
                  41,            0.087662,            0.029821,            0.059906,             0.45909,             0.33656,             0.22329,            0.058067,            0.084095,            0.020609,            0.055143,           0.0009559,           0.0009559,            0.088456
                  42,            0.086878,             0.02639,            0.058396,             0.63078,             0.29424,              0.2096,            0.045808,            0.085522,            0.020233,            0.054645,           0.0009655,           0.0009655,            0.088165
                  43,            0.086707,            0.031767,            0.058989,             0.46156,             0.35085,             0.22852,            0.067492,            0.082603,             0.02035,            0.054167,          0.00097429,          0.00097429,            0.087874
                  44,            0.085109,            0.032411,            0.057476,             0.46624,             0.32687,             0.21919,            0.071358,             0.08124,            0.020068,            0.053747,          0.00098226,          0.00098226,            0.087582
                  45,            0.083833,            0.026643,            0.057723,             0.46483,             0.31997,             0.22312,            0.092234,            0.079418,            0.020067,            0.053335,          0.00098942,          0.00098942,            0.087289
                  46,            0.083724,            0.027527,             0.05768,             0.76351,             0.28209,             0.22432,             0.09949,            0.079764,            0.020098,            0.053019,          0.00099577,          0.00099577,            0.086996
                  47,            0.084506,            0.026592,            0.056525,             0.29499,              0.4118,             0.22252,             0.10639,            0.076599,            0.019929,            0.052625,           0.0010013,           0.0010013,            0.086701
