               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12188,             0.01274,            0.079287,           0.0016772,             0.14286,           0.0012442,          0.00013931,            0.098778,            0.010892,            0.065132,               2e-05,               2e-05,             0.09982
                   1,             0.11738,            0.014197,            0.079632,           0.0028835,              0.2381,           0.0023817,          0.00047609,            0.096704,            0.011227,             0.06426,               5e-05,               5e-05,             0.09955
                   2,              0.1143,            0.015773,            0.078508,           0.0040855,             0.30952,           0.0037729,           0.0010062,            0.093953,            0.011669,            0.063133,          7.9997e-05,          7.9997e-05,             0.09928
                   3,             0.11248,            0.015406,            0.077398,            0.004946,            0.095238,           0.0051767,            0.001741,            0.090606,            0.012215,             0.06213,          0.00010999,          0.00010999,             0.09901
                   4,             0.10667,            0.016339,            0.077052,           0.0057388,            0.095238,           0.0064556,           0.0021786,            0.086514,            0.012891,            0.060969,          0.00013998,          0.00013998,             0.09874
                   5,             0.10368,            0.018217,            0.075263,            0.010184,             0.14286,           0.0079801,           0.0022896,             0.08205,            0.013577,            0.059918,          0.00016996,          0.00016996,             0.09847
                   6,             0.10024,            0.020509,            0.073343,            0.015335,             0.19048,            0.011342,           0.0027372,            0.077388,            0.014247,             0.05895,          0.00019994,          0.00019994,              0.0982
                   7,            0.098747,            0.017565,            0.071351,            0.016983,             0.19048,            0.014564,           0.0035396,            0.071393,            0.015006,            0.057916,           0.0002299,           0.0002299,             0.09793
                   8,            0.096293,            0.019829,            0.068284,            0.017941,            0.071429,            0.017012,           0.0048121,             0.06572,            0.015588,            0.056733,          0.00025985,          0.00025985,             0.09766
                   9,            0.090274,            0.023503,            0.068537,            0.022974,            0.095238,            0.020126,           0.0059367,             0.06171,            0.015867,            0.055303,          0.00028979,          0.00028979,             0.09739
                  10,             0.08953,            0.022741,            0.066794,            0.033225,             0.14286,            0.023515,           0.0077479,            0.058477,            0.016086,            0.053815,          0.00031972,          0.00031972,             0.09712
                  11,            0.081825,            0.022761,            0.065221,            0.038905,             0.16667,            0.030768,            0.011768,            0.055766,            0.016297,            0.052442,          0.00034962,          0.00034962,             0.09685
                  12,            0.078959,            0.023849,             0.06275,            0.092913,             0.11905,            0.049782,            0.017343,            0.052578,            0.016614,            0.051331,          0.00037951,          0.00037951,             0.09658
                  13,            0.083909,            0.022921,             0.06392,            0.096699,             0.16667,            0.066478,             0.02096,            0.050691,            0.016689,            0.049806,          0.00040938,          0.00040938,            0.096309
                  14,            0.081379,            0.020925,            0.061989,             0.19032,             0.14286,             0.11434,            0.028952,            0.049775,            0.016638,            0.048163,          0.00043923,          0.00043923,            0.096039
                  15,            0.081576,            0.025058,            0.059274,             0.28599,             0.14286,             0.16214,            0.043682,            0.048578,            0.016692,            0.046636,          0.00046906,          0.00046906,            0.095769
                  16,            0.074915,            0.023668,             0.05761,             0.24729,              0.2619,             0.21892,            0.076192,            0.047412,            0.016674,            0.044703,          0.00049886,          0.00049886,            0.095499
                  17,            0.072049,            0.023953,            0.056411,             0.21228,             0.30952,             0.29234,            0.099784,            0.048335,            0.016357,            0.042832,          0.00052864,          0.00052864,            0.095229
                  18,            0.074793,            0.023744,            0.055618,             0.23064,             0.38095,             0.43631,             0.13858,            0.047982,            0.016231,            0.041074,          0.00055839,          0.00055839,            0.094958
                  19,            0.071215,            0.023141,            0.053163,             0.40773,             0.60841,             0.56488,             0.15326,            0.047128,            0.016207,            0.039453,          0.00058811,          0.00058811,            0.094688
                  20,            0.067105,            0.021991,            0.051961,             0.51405,             0.68504,             0.66529,             0.15618,            0.045295,            0.016157,            0.037592,           0.0006178,           0.0006178,            0.094418
                  21,            0.068549,            0.026854,             0.04992,             0.54676,             0.71053,              0.7245,             0.18925,            0.043731,            0.016164,            0.036068,          0.00064746,          0.00064746,            0.094147
                  22,            0.069031,            0.023856,            0.049443,             0.52311,             0.77966,             0.69685,             0.23615,            0.041474,            0.016211,            0.034892,          0.00067708,          0.00067708,            0.093877
                  23,            0.063896,            0.025797,            0.049091,             0.49858,             0.81873,             0.64869,             0.22198,            0.040401,            0.015929,            0.033509,          0.00070667,          0.00070667,            0.093607
                  24,            0.066216,             0.02751,            0.047279,             0.40635,             0.86842,             0.70359,             0.27267,            0.039867,            0.015641,            0.032315,          0.00073622,          0.00073622,            0.093336
                  25,            0.068647,            0.022177,             0.04548,             0.43503,             0.97368,             0.68782,             0.23137,            0.042284,            0.014803,            0.031045,          0.00076573,          0.00076573,            0.093066
                  26,              0.0615,             0.02531,            0.043957,             0.45897,             0.70873,             0.60444,              0.2711,            0.037877,            0.014732,            0.030125,          0.00079521,          0.00079521,            0.092795
                  27,            0.061025,            0.023485,            0.043783,             0.39147,             0.94737,             0.58302,             0.21013,             0.03982,            0.013825,            0.029445,          0.00082464,          0.00082464,            0.092525
                  28,            0.062011,            0.027867,            0.043717,             0.41002,                   1,               0.637,             0.23337,            0.037185,            0.013755,            0.029046,          0.00085403,          0.00085403,            0.092254
                  29,            0.061083,            0.023799,            0.041308,             0.45285,              0.9468,              0.6679,             0.25329,            0.038182,            0.012928,            0.028467,          0.00088337,          0.00088337,            0.091983
                  30,            0.057334,            0.025756,            0.040337,             0.50398,             0.92105,             0.64698,             0.33852,            0.035134,            0.012606,            0.028294,          0.00091267,          0.00091267,            0.091713
                  31,             0.05795,            0.023811,            0.039651,              0.5044,             0.86842,             0.70276,             0.34955,            0.036617,            0.012027,            0.028163,          0.00094192,          0.00094192,            0.091442
                  32,            0.054466,            0.020255,            0.039236,              0.4101,             0.73684,             0.60673,             0.16499,            0.041324,            0.011137,             0.02811,          0.00097112,          0.00097112,            0.091171
                  33,             0.05711,            0.018411,            0.038364,             0.17231,                   1,             0.32897,            0.090689,            0.047783,            0.010602,            0.027857,           0.0010003,           0.0010003,              0.0909
                  34,            0.059476,            0.024352,            0.036855,             0.60529,             0.64662,             0.65003,             0.12576,             0.04211,            0.010504,            0.027657,           0.0010294,           0.0010294,            0.090629
                  35,            0.051925,            0.023131,            0.037906,             0.51963,              0.9461,             0.74302,             0.21031,            0.035431,            0.010338,            0.027842,           0.0010584,           0.0010584,            0.090358
                  36,            0.056671,            0.018944,            0.037914,              0.6044,             0.87093,             0.74387,             0.27175,            0.034193,            0.010302,            0.027961,           0.0010874,           0.0010874,            0.090087
                  37,            0.053682,            0.019014,            0.036274,             0.70872,             0.72055,             0.77696,             0.33651,            0.032224,            0.010191,             0.02773,           0.0011163,           0.0011163,            0.089816
