               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12182,            0.012769,             0.07987,           0.0013772,             0.11905,          0.00097799,          0.00011234,            0.098673,            0.010938,            0.065124,               2e-05,               2e-05,             0.09982
                   1,             0.11709,            0.014271,            0.079419,            0.002862,              0.2381,           0.0022687,          0.00045327,            0.096484,            0.011284,            0.064251,               5e-05,               5e-05,             0.09955
                   2,             0.11429,            0.015758,            0.078635,            0.003643,             0.28571,           0.0032736,          0.00086819,            0.093696,            0.011733,            0.063189,          7.9997e-05,          7.9997e-05,             0.09928
                   3,             0.11273,            0.015306,            0.077821,           0.0046441,             0.30952,           0.0045971,           0.0015318,            0.090455,            0.012265,            0.062185,          0.00010999,          0.00010999,             0.09901
                   4,             0.10669,            0.016353,             0.07741,           0.0051958,            0.095238,           0.0050893,           0.0018924,            0.086571,            0.012945,            0.061108,          0.00013998,          0.00013998,             0.09874
                   5,             0.10511,            0.017923,            0.075471,           0.0059548,            0.095238,           0.0061701,           0.0021477,            0.082107,            0.013638,            0.060005,          0.00016996,          0.00016996,             0.09847
                   6,             0.10043,            0.020308,            0.073445,           0.0076032,             0.11905,           0.0076934,           0.0020326,            0.077265,            0.014333,            0.058976,          0.00019994,          0.00019994,              0.0982
                   7,            0.099224,            0.017448,            0.071646,            0.012777,             0.19048,            0.011833,           0.0028945,            0.071319,             0.01514,            0.057901,           0.0002299,           0.0002299,             0.09793
                   8,            0.095927,            0.020063,            0.068748,            0.012147,             0.19048,            0.014997,           0.0036194,            0.066008,            0.015727,            0.056761,          0.00025985,          0.00025985,             0.09766
                   9,             0.09029,             0.02337,            0.068637,            0.017495,             0.24311,            0.019725,           0.0049275,            0.062021,            0.016016,            0.055394,          0.00028979,          0.00028979,             0.09739
                  10,            0.090222,            0.022614,            0.066774,            0.029752,             0.42231,            0.028311,           0.0068556,            0.058177,            0.016285,            0.053728,          0.00031972,          0.00031972,             0.09712
                  11,            0.082146,            0.022583,            0.065663,            0.035321,             0.52757,            0.037365,           0.0084056,            0.055927,            0.016375,             0.05233,          0.00034962,          0.00034962,             0.09685
                  12,             0.08005,            0.023516,            0.063032,            0.035082,             0.62782,             0.03965,           0.0093165,            0.053432,            0.016682,            0.051254,          0.00037951,          0.00037951,             0.09658
                  13,            0.083594,            0.022958,            0.063734,            0.054145,             0.37364,            0.065441,            0.017264,            0.051697,            0.016775,             0.04979,          0.00040938,          0.00040938,            0.096309
                  14,            0.081685,            0.020828,            0.062678,            0.078314,             0.57268,            0.092966,            0.023639,            0.050909,            0.016811,            0.048242,          0.00043923,          0.00043923,            0.096039
                  15,            0.081959,            0.024737,            0.059498,             0.14372,              0.2381,             0.16174,            0.047076,            0.050982,            0.016615,            0.046542,          0.00046906,          0.00046906,            0.095769
                  16,            0.075785,            0.023233,            0.057992,             0.19772,             0.52506,              0.2122,            0.064301,            0.051288,            0.016183,            0.045094,          0.00049886,          0.00049886,            0.095499
                  17,            0.071607,            0.024072,            0.056346,             0.28804,             0.68045,             0.31543,             0.10427,            0.051284,            0.015772,            0.043219,          0.00052864,          0.00052864,            0.095229
                  18,            0.075584,            0.023576,            0.055416,             0.39716,             0.52256,             0.40024,             0.12508,             0.04985,            0.015863,            0.042089,          0.00055839,          0.00055839,            0.094958
                  19,            0.072152,            0.022851,            0.053394,              0.4398,             0.56838,               0.533,             0.17518,            0.048526,            0.015867,            0.040826,          0.00058811,          0.00058811,            0.094688
                  20,            0.068174,            0.021776,            0.052182,             0.33375,              0.6795,             0.51685,             0.15417,            0.049246,            0.015528,            0.039325,           0.0006178,           0.0006178,            0.094418
                  21,            0.068495,            0.026813,            0.049805,             0.33248,             0.73684,             0.56604,             0.19921,            0.046515,             0.01579,            0.037708,          0.00064746,          0.00064746,            0.094147
                  22,            0.068192,            0.023851,            0.049055,             0.29024,             0.92105,             0.60546,             0.21693,            0.045305,            0.015806,            0.035854,          0.00067708,          0.00067708,            0.093877
                  23,            0.063447,             0.02594,            0.049196,             0.29814,             0.92105,              0.6144,             0.27163,            0.042296,            0.015883,            0.034397,          0.00070667,          0.00070667,            0.093607
                  24,            0.065912,            0.027417,             0.04736,             0.92123,             0.42857,             0.60523,             0.28608,            0.042164,            0.015531,            0.033238,          0.00073622,          0.00073622,            0.093336
                  25,            0.068813,            0.022093,            0.045917,             0.28397,             0.94737,             0.61516,             0.25747,            0.043662,            0.014817,            0.031765,          0.00076573,          0.00076573,            0.093066
                  26,            0.061031,            0.025315,             0.04407,             0.34984,             0.94225,             0.67106,             0.29295,             0.03854,            0.014786,            0.030697,          0.00079521,          0.00079521,            0.092795
                  27,            0.061445,            0.023251,            0.043758,             0.40558,             0.89171,             0.66843,             0.35973,            0.038613,            0.013911,            0.029771,          0.00082464,          0.00082464,            0.092525
                  28,            0.062068,            0.027716,            0.043657,             0.45108,             0.91973,             0.70425,             0.23453,             0.03701,            0.013649,            0.029303,          0.00085403,          0.00085403,            0.092254
                  29,             0.06172,            0.023597,            0.041278,             0.50311,             0.94737,             0.70513,             0.32474,            0.036117,            0.013086,            0.028721,          0.00088337,          0.00088337,            0.091983
                  30,            0.057199,            0.025697,            0.040191,             0.58427,             0.76634,             0.71612,             0.36038,            0.034359,            0.012931,            0.028596,          0.00091267,          0.00091267,            0.091713
                  31,            0.057032,            0.023965,            0.039548,             0.61503,             0.87845,             0.71057,             0.30267,            0.036689,            0.012242,            0.028246,          0.00094192,          0.00094192,            0.091442
                  32,            0.053406,            0.020321,            0.038834,             0.66779,             0.80368,             0.67262,             0.28482,            0.037741,            0.011557,            0.028196,          0.00097112,          0.00097112,            0.091171
                  33,            0.058191,            0.018257,            0.038766,             0.50219,             0.79449,             0.59704,             0.13668,            0.044959,            0.010849,            0.028249,           0.0010003,           0.0010003,              0.0909
                  34,            0.058406,            0.024483,            0.037008,              0.4579,             0.95925,              0.6411,             0.24366,            0.039328,            0.010892,            0.028104,           0.0010294,           0.0010294,            0.090629
                  35,            0.051213,             0.02318,            0.037645,             0.50429,             0.99913,             0.65289,             0.29439,            0.034244,            0.010578,            0.028171,           0.0010584,           0.0010584,            0.090358
                  36,            0.059092,            0.018537,            0.038227,             0.55801,             0.86323,              0.6821,             0.22778,            0.037177,            0.010297,            0.028171,           0.0010874,           0.0010874,            0.090087
                  37,            0.055037,            0.018838,            0.036398,             0.25105,             0.97368,             0.38193,             0.17566,            0.037709,            0.010263,            0.027777,           0.0011163,           0.0011163,            0.089816
