               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12359,            0.025514,            0.083163,                   0,                   0,                   0,                   0,             0.11597,            0.020402,            0.082636,               2e-05,               2e-05,             0.09982
                   1,             0.12189,            0.024956,            0.083062,                   0,                   0,                   0,                   0,             0.11514,            0.020622,            0.082335,               5e-05,               5e-05,             0.09955
                   2,             0.12117,            0.023853,            0.083079,                   0,                   0,                   0,                   0,             0.11403,            0.020901,            0.081892,          7.9997e-05,          7.9997e-05,             0.09928
                   3,             0.12068,            0.024702,            0.082155,                   0,                   0,                   0,                   0,             0.11252,             0.02131,            0.081422,          0.00010999,          0.00010999,             0.09901
                   4,             0.11794,            0.025486,             0.08169,           0.0024335,           0.0071429,           0.0010186,           0.0001574,             0.11074,            0.021869,            0.080885,          0.00013998,          0.00013998,             0.09874
                   5,             0.12011,            0.027051,            0.081481,            0.003899,            0.014286,           0.0022126,          0.00029395,             0.10919,            0.022384,            0.080316,          0.00016996,          0.00016996,             0.09847
                   6,              0.1175,            0.028268,            0.081155,           0.0032468,                0.05,           0.0022561,           0.0004173,              0.1076,            0.022961,            0.079698,          0.00019994,          0.00019994,              0.0982
                   7,             0.11608,            0.026851,             0.08006,           0.0037202,            0.071429,            0.002977,          0.00063103,              0.1064,            0.023412,            0.079042,           0.0002299,           0.0002299,             0.09793
                   8,             0.11458,            0.028769,            0.079668,           0.0039305,            0.092857,            0.003276,          0.00063301,             0.10523,             0.02391,            0.078371,          0.00025985,          0.00025985,             0.09766
                   9,             0.11361,            0.032409,            0.079074,           0.0046909,             0.12857,           0.0042655,          0.00079893,             0.10421,            0.024278,            0.077624,          0.00028979,          0.00028979,             0.09739
                  10,             0.11073,            0.031076,            0.078186,           0.0072729,             0.21429,           0.0079219,           0.0014604,             0.10383,            0.024488,            0.076586,          0.00031972,          0.00031972,             0.09712
                  11,             0.11125,            0.026411,            0.077569,           0.0091405,             0.12143,            0.010397,           0.0022036,             0.10347,            0.024697,            0.075638,          0.00034962,          0.00034962,             0.09685
                  12,             0.11076,            0.031813,            0.077342,            0.012163,             0.20268,            0.012606,           0.0025589,             0.10274,            0.025011,            0.074958,          0.00037951,          0.00037951,             0.09658
                  13,             0.10977,            0.030694,            0.076431,            0.012662,             0.19048,            0.013611,           0.0035089,             0.10124,            0.025581,            0.074293,          0.00040938,          0.00040938,            0.096309
                  14,             0.10842,            0.031811,            0.075299,            0.014371,             0.22619,             0.01467,           0.0035752,             0.10036,            0.026093,            0.073437,          0.00043923,          0.00043923,            0.096039
                  15,             0.10732,            0.034847,            0.075164,            0.014363,             0.25476,            0.017682,           0.0049542,            0.099298,            0.026539,            0.072681,          0.00046906,          0.00046906,            0.095769
                  16,             0.10659,            0.035407,            0.074789,            0.014453,                0.25,            0.021953,            0.006065,            0.098456,            0.027053,            0.071976,          0.00049886,          0.00049886,            0.095499
